id,recorded,start,end,value
27,1756616221,1756569600,1757692799,"{ ""source"": ""manual entry"",""textual_description"": ""Add/Drop (1st Term)""}"
28,1756616221,1756656000,1765555199,"{ ""source"": ""manual entry"",""textual_description"": ""2025/2026 Teaching Term 1""}"
29,1756616221,1756656000,1756742399,"{ ""source"": ""manual entry"",""textual_description"": ""1st term begins""}"
