read_ts,inverter,battvolt,battcurr,battsoc,battchgpower,linechgcurr,pvchgcurr,battreserve,pv1volt,pv1curr,pv1power,pv2volt,pv2curr,pv2power,pv3volt,pv3curr,pv3power,pvreserve,outvolta,outcurra,outfreq,invcurra,outw_a,outva_a,loadpercenta,normalloadw_a,outvoltb,outcurrb,invcurrb,outw_b,outva_b,loadpercentb,normalloadw_b,outvoltc,outcurrc,invcurrc,outw_c,outva_c,loadpercentc,normalloadw_c,outsumw,outsumva,sumloadpercent,generatedpowerp_a,generatedpowerp_b,generatedpowerp_c,generatedpowers_a,generatedpowers_b,generatedpowers_c,generatedpowerq_a,generatedpowerq_b,generatedpowerq_c,linevolta,linecurra,linefreq,linevoltb,linecurrb,linevoltc,linecurrc,linepowerva_a,linepowerva_b,linepowerva_c,linepowerw_a,linepowerw_b,linepowerw_c,busvoltp,busvoltn,temper1,temper2,temper3,temper4,sir,fanduty,otherreserve,gridpowerw_a,gridpowerw_b,gridpowerw_c,gridcurr_a,gridcurr_b,gridcurr_c,grid_reserve
1752624184,2,53.1,24.7,81,,0.0,0.0,"{0,0,0,0,0}",242.2,0.5,122,0.0,0.0,0,0.0,,0,,230.0,,50.03,5.8,,1425,25,0,0.0,2.7,0.0,0,,0,,0.0,,0.0,,0,0,0,1344,1426,25,0,0,0,0,0,0,0,0,0,233.4,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,393.6,0.0,32.9,44.2,51.8,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752624590,2,53.0,24.6,79,0,0.0,0.0,"{0,0,0,0,0}",,0.5,119,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.1,,5.8,,1402,25,0,0.0,2.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1360,1426,25,0,0,0,0,0,0,0,0,0,236.1,0.0,50.01,0.0,0.0,0.0,0.0,,0,,0,0,0,393.4,0.0,31.8,44.0,50.7,120.0,0,0,"{0,0,0,0,0}",56,0,0,0.8,,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752624994,2,53.4,6551.7,78,101,,2.0,"{0,0,0,0,0}",279.7,0.7,194,,0.0,0,0.0,0.0,0,"{0,0,0,0}",,0.2,50.0,1.2,31,46,0,0,0.0,1.3,0.0,0,0,0,,0.0,0.0,0.0,0,0,0,0,31,46,0,0,0,0,0,0,0,0,0,0,235.4,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,401.9,0.0,32.5,42.2,49.3,120.0,0,0,"{0,0,0,0,0}",55,0,0,,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752625408,2,53.1,21.5,77,0,0.0,0.0,"{0,0,0,0,0}",,0.9,,0.0,,0,0.0,,0,"{0,0,0,0}",230.0,,50.0,5.8,1353,1427,25,0,,2.8,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1352,1425,25,0,,0,0,0,0,0,0,0,,0.0,50.0,,0.0,,0.0,0,,0,,0,0,394.5,0.0,34.2,43.7,,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,,0.0,
1752625825,2,53.1,21.9,76,0,0.0,,"{0,0,0,0,0}",296.6,0.8,236,0.0,,0,0.0,0.0,0,"{0,0,0,0}",,6.2,,5.8,,1429,,0,,2.7,0.0,0,,0,0,0.0,0.0,0.0,0,0,0,0,1346,1426,25,0,0,0,0,,0,0,0,0,236.3,0.0,50.01,,0.0,,0.0,,0,0,0,0,0,394.1,0.0,33.2,43.9,50.8,120.0,0,,"{0,0,0,0,0}",55,0,0,0.8,,0.0,
1752626233,2,53.1,21.5,75,,0.0,0.0,"{0,0,0,0,0}",265.6,1.0,266,0.0,0.0,,0.0,0.0,0,"{0,0,0,0}",,6.1,50.01,5.8,,1403,25,0,0.0,2.8,0.0,0,,0,0,0.0,0.0,0.0,0,0,,0,1367,1449,25,0,0,0,0,0,0,0,0,0,235.6,0.0,50.0,0.0,,0.0,0.0,,0,0,0,0,0,394.1,0.0,33.3,44.0,50.3,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752626633,2,53.4,6549.9,74,197,0.0,3.7,"{0,0,0,0,0}",,1.0,,0.0,,0,,0.0,0,"{0,0,0,0}",,0.2,49.99,1.2,31,46,0,0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,30,46,0,0,0,0,0,0,0,0,0,0,235.1,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,0.0,33.7,42.9,,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,0.0,,"{0,0,0,0,0,0,0,0,0,0}"
1752627021,2,53.2,11.8,74,0,0.0,0.0,"{0,0,0,0,0}",,1.9,753,,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.1,50.01,5.8,,1402,25,0,0.0,2.8,0.0,0,,0,0,,0.0,0.0,0,,0,0,1338,1426,25,0,0,0,0,0,0,0,0,0,235.7,0.0,50.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,397.5,0.0,34.6,43.3,,120.0,0,0,"{0,0,0,0,0}",,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752627423,2,53.2,15.8,73,,0.0,0.0,,379.6,1.3,493,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.1,49.98,5.8,,1425,25,0,0.0,2.7,0.0,0,0,0,0,0.0,,0.0,0,0,,0,1359,1426,25,0,0,0,0,0,0,0,0,0,235.7,0.0,49.98,0.0,0.0,0.0,0.0,0,0,0,0,0,0,395.8,0.0,33.4,43.5,50.0,,0,,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752627823,2,53.5,6543.9,73,518,0.0,,"{0,0,0,0,0}",399.9,1.4,557,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,0.2,,1.2,30,45,0,0,0.0,1.6,0.0,0,0,0,,0.0,0.0,0.0,0,0,0,0,31,,0,,0,0,0,0,0,0,0,0,234.2,0.0,49.97,0.0,0.0,0.0,0.0,0,0,0,0,0,0,404.5,0.0,33.3,42.7,49.2,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,,0.0,
1752628221,2,53.2,16.3,,0,0.0,0.0,"{0,0,0,0,0}",,1.3,,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.2,49.95,5.8,1352,1426,25,,0.0,2.4,,0,,0,0,0.0,0.0,0.0,0,0,0,0,1353,1425,25,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0.0,,0.0,,0,0,,0,0,396.2,0.0,32.9,42.0,49.1,120.0,0,0,"{0,0,0,0,0}",54,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752628633,2,53.1,15.4,72,,0.0,0.0,"{0,0,0,0,0}",,1.4,,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,6.1,50.02,5.8,1338,,25,0,0.0,2.5,0.0,0,0,,0,0.0,0.0,,0,0,0,0,1358,1426,25,0,0,0,0,0,0,0,0,0,234.8,0.0,50.01,0.0,0.0,,0.0,0,,0,,0,,395.8,,33.0,42.7,48.9,120.0,0,0,,55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752629055,2,53.1,13.8,71,0,0.0,0.0,"{0,0,0,0,0}",,1.6,,0.0,0.0,0,0.0,,0,,230.1,6.2,49.96,5.8,1352,1425,,0,,2.5,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1349,1406,25,0,0,0,0,0,,0,0,0,,0.0,49.97,,0.0,0.0,0.0,0,0,0,0,0,0,396.5,0.0,33.4,42.9,49.0,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752629450,2,53.6,,72,,0.0,11.9,"{0,0,0,0,0}",,1.8,,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,0.2,49.95,1.2,30,45,0,0,0.0,,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,29,46,0,0,0,,0,0,0,0,0,0,234.7,0.0,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,,405.5,0.0,34.0,42.3,48.8,120.0,0,0,"{0,0,0,0,0}",,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752629863,2,53.2,14.5,71,,0.0,0.0,"{0,0,0,0,0}",,1.5,,0.0,0.0,,0.0,,0,"{0,0,0,0}",,6.2,,5.8,1353,1426,25,0,0.0,,0.0,,0,0,0,0.0,0.0,0.0,0,0,0,0,1373,,25,0,0,,0,0,0,0,0,0,235.3,0.0,49.98,0.0,0.0,0.0,0.0,0,0,0,0,0,0,396.6,0.0,33.6,42.7,49.1,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752630282,2,53.2,,70,0,0.0,0.0,"{0,0,0,0,0}",,1.3,,0.0,,0,0.0,0.0,0,"{0,0,0,0}",,6.2,,5.8,1347,,25,,0.0,,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,1428,25,0,0,0,0,0,0,0,0,0,234.7,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,395.7,0.0,33.5,43.4,49.0,120.0,0,,"{0,0,0,0,0}",,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752630689,2,53.0,19.5,69,0,,0.0,,286.6,,291,,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.2,49.97,5.8,1349,1426,25,,0.0,,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1361,1449,25,0,0,0,0,0,0,0,0,0,234.2,0.0,,0.0,,0.0,,0,0,0,,0,0,394.4,0.0,33.8,43.9,49.4,,0,,"{0,0,0,0,0}",54,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752631094,2,53.2,7.2,69,,0.0,0.0,"{0,0,0,0,0}",397.3,2.5,993,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.2,,5.8,1365,1449,25,0,0.0,,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1361,1449,25,0,0,0,,0,0,0,,0,234.4,,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,397.9,0.0,34.4,43.6,49.2,120.0,,0,"{0,0,0,0,0}",55,0,0,0.8,,0.0,
1752631490,2,53.6,6539.2,69,771,0.0,14.4,,405.3,2.1,851,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,0.2,,1.2,30,46,0,0,0.0,1.8,0.0,0,0,0,0,0.0,0.0,0.0,0,,0,0,29,45,0,0,0,0,,0,0,0,0,0,235.1,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,406.2,0.0,35.0,42.5,49.3,120.0,0,0,"{0,0,0,0,0}",56,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752631899,2,53.3,8.8,69,0,0.0,0.0,"{0,0,0,0,0}",,2.4,,0.0,,0,0.0,0.0,0,"{0,0,0,0}",,6.3,50.02,,1371,1453,25,0,0.0,2.6,0.0,0,0,0,0,0.0,,0.0,0,0,0,0,1376,1449,25,0,0,0,0,0,0,0,0,0,235.2,0.0,50.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,398.6,,34.3,,49.1,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752632306,2,53.2,10.9,68,0,0.0,0.0,"{0,0,0,0,0}",396.7,2.0,793,0.0,0.0,,0.0,0.0,0,"{0,0,0,0}",,6.2,,5.8,1354,,25,0,,2.7,0.0,0,0,0,0,0.0,,0.0,,0,0,0,1352,1449,25,0,0,0,0,0,0,0,0,0,234.6,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,,0,397.4,,34.2,43.2,49.0,120.0,0,0,"{0,0,0,0,0}",55,0,0,,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752632725,2,53.6,6536.6,68,911,0.0,17.0,"{0,0,0,0,0}",,2.5,1014,0.0,0.0,0,0.0,,0,,230.0,,49.95,1.2,29,46,0,0,0.0,1.8,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,29,45,0,0,0,0,0,0,0,0,0,0,235.2,0.0,49.95,0.0,,0.0,0.0,0,0,0,0,0,,406.5,0.0,34.2,42.8,48.8,120.0,0,0,"{0,0,0,0,0}",,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752633137,2,53.4,7.6,69,0,0.0,0.0,"{0,0,0,0,0}",,2.4,931,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.3,,5.8,1386,1449,25,0,0.0,2.7,0.0,0,0,0,,0.0,0.0,0.0,0,0,0,0,,1425,,0,,0,0,,0,0,,0,,0.0,50.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,399.3,0.0,34.1,42.4,,120.0,0,0,,55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752633546,2,53.6,1.2,69,0,0.0,0.0,"{0,0,0,0,0}",401.1,3.4,1363,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.2,,5.8,,1449,25,0,0.0,2.6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1348,1449,25,0,0,0,0,0,0,,0,0,234.8,0.0,49.95,0.0,0.0,0.0,,0,0,0,0,0,0,402.8,,36.1,43.6,49.1,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
