read_ts,inverter,battvolt,battcurr,battsoc,battchgpower,linechgcurr,pvchgcurr,battreserve,pv1volt,pv1curr,pv1power,pv2volt,pv2curr,pv2power,pv3volt,pv3curr,pv3power,pvreserve,outvolta,outcurra,outfreq,invcurra,outw_a,outva_a,loadpercenta,normalloadw_a,outvoltb,outcurrb,invcurrb,outw_b,outva_b,loadpercentb,normalloadw_b,outvoltc,outcurrc,invcurrc,outw_c,outva_c,loadpercentc,normalloadw_c,outsumw,outsumva,sumloadpercent,generatedpowerp_a,generatedpowerp_b,generatedpowerp_c,generatedpowers_a,generatedpowers_b,generatedpowers_c,generatedpowerq_a,generatedpowerq_b,generatedpowerq_c,linevolta,linecurra,linefreq,linevoltb,linecurrb,linevoltc,linecurrc,linepowerva_a,linepowerva_b,linepowerva_c,linepowerw_a,linepowerw_b,linepowerw_c,busvoltp,busvoltn,temper1,temper2,temper3,temper4,sir,fanduty,otherreserve,gridpowerw_a,gridpowerw_b,gridpowerw_c,gridcurr_a,gridcurr_b,gridcurr_c,grid_reserve
1752472412,2,54.3,6531.5,90,1200,,21.9,"{0,0,0,0,0}",382.5,7.0,2678,,0.0,,0.0,0.0,,"{0,0,0,0}",,6.3,,5.8,,1448,,0,0.0,,0.0,0,0,0,0,,0.0,,0,,0,,1388,1468,,0,,0,0,0,0,0,0,0,232.7,0.0,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,0,411.8,0.0,40.2,48.6,53.2,120.0,,0,,55,,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752472752,2,54.8,,90,,0.0,,"{0,0,0,0,0}",375.0,6.3,2366,0.0,0.0,0,0.0,,0,"{0,0,0,0}",,6.4,,6.0,1431,,26,0,0.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0,,0,0,0,1420,1468,26,0,,0,,0,0,0,0,0,233.2,0.0,,0.0,,0.0,0.0,0,0,0,0,0,0,415.1,0.0,41.3,48.1,53.0,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752473079,2,55.8,6533.6,91,1116,0.0,,"{0,0,0,0,0}",372.0,6.8,2529,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.3,49.97,5.9,1402,1472,26,0,0.0,4.8,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1405,,26,,0,0,0,0,0,0,0,0,233.3,0.0,49.97,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,0.0,,48.1,53.2,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752473404,2,54.7,14.5,94,,0.0,,"{0,0,0,0,0}",394.8,1.5,589,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.4,49.95,5.9,1379,1449,25,0,0.0,4.4,0.0,0,0,0,0,0.0,,0.0,0,0,0,0,1390,1471,26,0,0,0,0,0,0,0,0,0,,0.0,49.95,0.0,,0.0,,0,0,0,0,0,0,407.2,0.0,39.0,47.5,53.2,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752473740,2,55.3,6535.1,94,1023,0.0,18.6,"{0,0,0,0,0}",380.4,,2435,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.3,,5.9,,1472,,0,,4.8,,0,,0,,0.0,,0.0,,0,,0,,1448,25,0,0,0,0,0,0,0,0,0,,0.0,49.99,0.0,,0.0,0.0,0,0,0,0,0,,419.9,0.0,41.1,47.6,52.9,120.0,0,,"{0,0,0,0,0}",56,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752474066,2,56.6,0.5,99,0,0.0,0.0,"{0,0,0,0,0}",,3.2,1386,0.0,0.0,0,0.0,0.0,,"{0,0,0,0}",,6.3,49.97,,1416,,26,0,0.0,4.6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,1470,,0,0,0,0,0,0,0,0,0,233.7,0.0,49.98,0.0,0.0,0.0,0.0,0,0,0,0,0,0,438.7,0.0,40.9,47.4,52.9,120.0,0,0,"{0,0,0,0,0}",56,0,0,,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752474394,2,56.6,,99,0,0.0,0.0,"{0,0,0,0,0}",,3.1,1324,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.3,,5.7,1404,1472,25,0,0.0,4.5,0.0,,0,0,,0.0,,0.0,,0,0,0,1374,1472,25,0,0,0,0,0,,0,0,0,233.6,0.0,49.94,0.0,0.0,0.0,0.0,0,0,,0,0,0,460.2,0.0,40.9,47.1,52.9,120.0,0,0,"{0,0,0,0,0}",57,0,0,,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752474720,2,56.4,,99,0,0.0,0.0,"{0,0,0,0,0}",428.8,3.1,1328,0.0,0.0,0,0.0,0.0,0,,230.0,6.3,49.96,5.7,1386,1448,26,0,0.0,4.5,0.0,0,0,0,0,0.0,0.0,,0,0,0,0,1375,1449,25,,0,,0,,0,0,0,0,234.1,0.0,,0.0,,0.0,0.0,,0,0,0,0,0,460.4,0.0,40.5,46.7,52.8,120.0,0,,"{0,0,0,0,0}",58,0,0,0.8,0.0,0.0,
1752475053,2,56.3,0.5,99,0,0.0,,"{0,0,0,0,0}",,3.1,,0.0,0.0,0,,0.0,0,"{0,0,0,0}",,6.3,,5.7,,1448,26,0,0.0,4.9,0.0,0,0,0,0,0.0,0.0,0.0,,0,,0,1401,1449,,0,,0,0,0,0,0,0,,233.8,,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,0,460.1,0.0,40.3,46.8,52.6,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1752475387,2,56.2,0.5,99,0,0.0,0.0,"{0,0,0,0,0}",,3.1,,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,6.3,50.0,5.7,1389,1449,26,0,0.0,4.6,0.0,0,,0,0,0.0,0.0,0.0,0,0,,0,,1472,26,0,0,0,0,0,0,0,0,0,233.5,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,460.3,0.0,40.2,46.7,52.6,120.0,0,0,"{0,0,0,0,0}",,0,,0.8,0.0,0.0,
