read_ts,inverter,battvolt,battcurr,battsoc,battchgpower,linechgcurr,pvchgcurr,battreserve,pv1volt,pv1curr,pv1power,pv2volt,pv2curr,pv2power,pv3volt,pv3curr,pv3power,pvreserve,outvolta,outcurra,outfreq,invcurra,outw_a,outva_a,loadpercenta,normalloadw_a,outvoltb,outcurrb,invcurrb,outw_b,outva_b,loadpercentb,normalloadw_b,outvoltc,outcurrc,invcurrc,outw_c,outva_c,loadpercentc,normalloadw_c,outsumw,outsumva,sumloadpercent,generatedpowerp_a,generatedpowerp_b,generatedpowerp_c,generatedpowers_a,generatedpowers_b,generatedpowers_c,generatedpowerq_a,generatedpowerq_b,generatedpowerq_c,linevolta,linecurra,linefreq,linevoltb,linecurrb,linevoltc,linecurrc,linepowerva_a,linepowerva_b,linepowerva_c,linepowerw_a,linepowerw_b,linepowerw_c,busvoltp,busvoltn,temper1,temper2,temper3,temper4,sir,fanduty,otherreserve,gridpowerw_a,gridpowerw_b,gridpowerw_c,gridcurr_a,gridcurr_b,gridcurr_c,grid_reserve
1756459117,1,53.1,1.4,58,0,0.0,0.0,"{0,0,0,0,0}",302.7,0.4,124,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,0.8,50.02,1.6,121,184,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,121,184,2,0,0,0,0,0,0,0,0,0,233.4,0.0,50.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.2,0.0,37.6,44.5,48.4,120.0,0,0,"{0,0,0,0,0}",87,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459117,2,53.0,21.8,78,0,0.0,0.0,"{0,0,0,0,0}",194.1,1.7,328,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,6.4,50.03,6.1,1443,1472,26,0,0.0,3.2,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1446,1472,26,0,0,0,0,0,0,0,0,0,234.3,0.0,50.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.3,0.0,37.4,46.9,53.4,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459227,1,53.1,1.6,58,0,0.0,0.0,"{0,0,0,0,0}",313.1,0.4,122,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,0.7,50.02,1.6,122,184,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,122,183,2,0,0,0,0,0,0,0,0,0,233.8,0.0,50.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.1,0.0,36.5,43.2,47.6,120.0,0,0,"{0,0,0,0,0}",88,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459227,2,53.0,21.9,78,0,0.0,0.0,"{0,0,0,0,0}",191.7,1.7,326,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,6.4,50.02,6.1,1444,1471,26,0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1448,1468,26,0,0,0,0,0,0,0,0,0,234.7,0.0,50.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.1,0.0,37.1,46.9,53.4,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459343,1,53.1,1.5,58,0,0.0,0.0,"{0,0,0,0,0}",290.5,0.4,118,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,0.7,49.98,1.6,123,184,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,124,184,2,0,0,0,0,0,0,0,0,0,234.3,0.0,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.0,0.0,36.4,42.6,47.1,120.0,0,0,"{0,0,0,0,0}",88,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459343,2,53.0,26.1,77,0,0.0,0.0,"{0,0,0,0,0}",191.2,0.8,153,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,6.4,49.98,6.1,1421,1494,25,0,0.0,2.9,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1415,1472,26,0,0,0,0,0,0,0,0,0,235.2,0.0,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,,393.0,0.0,37.5,47.0,53.7,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459455,1,53.1,1.4,58,0,0.0,0.0,"{0,0,0,0,0}",299.4,0.4,119,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,0.8,49.95,1.7,134,184,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,125,184,2,0,0,0,0,0,0,0,0,0,233.8,0.0,49.96,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.0,0.0,36.2,42.1,46.5,120.0,0,0,"{0,0,0,0,0}",89,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459455,2,53.0,26.3,77,0,0.0,0.0,"{0,0,0,0,0}",245.0,0.4,98,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.4,49.95,6.0,1437,1468,26,0,0.0,3.1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1436,1518,26,0,0,0,0,0,0,0,0,0,234.7,0.0,49.96,0.0,0.0,0.0,0.0,0,0,0,0,0,0,393.0,0.0,36.9,47.4,53.8,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459565,1,53.1,1.4,58,0,0.0,0.0,"{0,0,0,0,0}",289.2,0.4,114,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,0.8,49.98,1.7,123,183,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,123,184,2,0,0,0,0,0,0,0,0,0,233.7,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,423.9,0.0,37.3,42.2,48.6,120.0,0,0,"{0,0,0,0,0}",88,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459565,2,53.0,26.3,76,0,0.0,0.0,"{0,0,0,0,0}",258.5,0.5,126,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.4,49.98,6.1,1448,1495,26,0,0.0,3.2,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1424,1495,26,0,0,0,0,0,0,0,0,0,234.7,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,392.9,0.0,36.5,47.5,53.7,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
